year,GEOID,NAME,variable,estimate
2009,5001585375,"Wolcott town, Lamoille County, Vermont",Mortgaged SMOC,1063
2009,5001585375,"Wolcott town, Lamoille County, Vermont",Non-Mortgaged SMOC,499
2009,5001707375,"Bradford town, Orange County, Vermont",Mortgaged SMOC,1318
2009,5001707375,"Bradford town, Orange County, Vermont",Non-Mortgaged SMOC,566
2009,5001707600,"Braintree town, Orange County, Vermont",Mortgaged SMOC,1109
2009,5001707600,"Braintree town, Orange County, Vermont",Non-Mortgaged SMOC,585
2009,5001709325,"Brookfield town, Orange County, Vermont",Mortgaged SMOC,1245
2009,5001709325,"Brookfield town, Orange County, Vermont",Non-Mortgaged SMOC,588
2009,5001713525,"Chelsea town, Orange County, Vermont",Mortgaged SMOC,1105
2009,5001713525,"Chelsea town, Orange County, Vermont",Non-Mortgaged SMOC,462
2009,5001715700,"Corinth town, Orange County, Vermont",Mortgaged SMOC,1253
2009,5001715700,"Corinth town, Orange County, Vermont",Non-Mortgaged SMOC,532
2009,5001725675,"Fairlee town, Orange County, Vermont",Mortgaged SMOC,1554
2009,5001725675,"Fairlee town, Orange County, Vermont",Non-Mortgaged SMOC,722
2009,5001748175,"Newbury town, Orange County, Vermont",Mortgaged SMOC,1227
2009,5001748175,"Newbury town, Orange County, Vermont",Non-Mortgaged SMOC,515
2009,5001753425,"Orange town, Orange County, Vermont",Mortgaged SMOC,1081
2009,5001753425,"Orange town, Orange County, Vermont",Non-Mortgaged SMOC,397
2009,5001758075,"Randolph town, Orange County, Vermont",Mortgaged SMOC,1367
2009,5001758075,"Randolph town, Orange County, Vermont",Non-Mortgaged SMOC,644
2009,5001770675,"Strafford town, Orange County, Vermont",Mortgaged SMOC,1554
2009,5001770675,"Strafford town, Orange County, Vermont",Non-Mortgaged SMOC,593
2009,5001772400,"Thetford town, Orange County, Vermont",Mortgaged SMOC,1492
2009,5001772400,"Thetford town, Orange County, Vermont",Non-Mortgaged SMOC,660
2009,5001773075,"Topsham town, Orange County, Vermont",Mortgaged SMOC,1092
2009,5001773075,"Topsham town, Orange County, Vermont",Non-Mortgaged SMOC,378
2009,5001773675,"Tunbridge town, Orange County, Vermont",Mortgaged SMOC,1335
2009,5001773675,"Tunbridge town, Orange County, Vermont",Non-Mortgaged SMOC,518
2009,5001774950,"Vershire town, Orange County, Vermont",Mortgaged SMOC,1107
2009,5001774950,"Vershire town, Orange County, Vermont",Non-Mortgaged SMOC,567
