_geoid,Town,County,year1791,year1800,year1810,year1820,year1830,year1840,year1850,year1860,year1870,year1880,year1890,year1900,year1910,year1920,year1930,year1940,year1950,year1960,year1970,year1980,year1990,year2000,year2010,year2020
5000363550,Shaftsbury,Bennington,1990,1896,1973,2022,2143,1885,1896,1936,2027,1887,1652,1857,1650,1534,1631,1577,1673,1939,2411,3001,3368,3767,3590,3598
5002763775,Sharon,Windsor,569,1158,1363,1431,1459,1371,1240,1111,1013,1012,737,709,565,545,559,530,470,485,541,828,1211,1411,1502,1560
5000564075,Sheffield,Caledonia,0,179,388,581,720,821,797,836,811,884,760,724,691,594,543,465,451,342,307,435,541,727,703,682
5000764300,Shelburne,Chittenden,387,723,987,1168,1123,1098,1257,1178,1190,1095,1300,1292,1097,997,1006,1010,1365,1805,3728,5000,5871,6944,7144,7717
5001164600,Sheldon,Franklin,0,408,883,927,2158,1734,1814,1655,1697,1529,1365,1341,1246,1473,1563,1471,1352,1281,1481,1618,1748,1990,2190,2136
5000165050,Shoreham,Addison,701,1447,2033,1881,2137,1674,1601,1382,1225,1354,1240,1193,1098,925,948,865,829,786,790,972,1115,1222,1265,1260
5002165275,Shrewsbury,Rutland,382,748,990,1151,1289,1218,1268,1175,1145,1235,974,935,751,620,540,537,464,445,570,866,1107,1108,1056,1096
5002565762,Somerset,Windham,111,130,199,173,245,262,321,105,80,67,61,67,27,59,20,5,8,4,0,2,2,5,3,6
5000766175,South Burlington,Chittenden,0,0,0,0,0,0,0,0,791,664,845,971,927,938,1023,1736,3279,6903,10032,10679,12809,15814,17904,20292
5001367000,South Hero,Grand Isle,537,678,826,842,717,664,705,617,586,620,559,817,605,605,641,611,567,614,868,1188,1404,1696,1631,1674
5002769550,Springfield,Windsor,1097,2032,2556,2702,2749,2625,2762,2968,2937,3144,2881,3432,4784,7202,6965,7720,9190,9934,10063,10190,9579,9078,9373,9062
5001161675,St. Albans City,Franklin,0,0,0,0,0,0,0,0,0,0,0,6237,6381,7588,8020,8037,8552,8806,8082,7308,7339,7650,6918,6877
5001161750,St. Albans Town,Franklin,256,901,1609,1636,2395,2702,3567,3637,7014,7193,7771,1715,1617,1583,1691,1733,1908,2303,3270,3555,4606,5086,5999,6988
5000762050,St. George,Chittenden,57,65,68,120,135,121,127,121,111,93,106,90,109,100,84,87,117,108,477,677,705,698,674,794
5000562200,St. Johnsbury,Caledonia,143,651,1334,1404,1592,1887,2758,3469,4665,5800,6567,7010,8098,8708,9696,9095,9292,8869,8409,7938,7608,7571,7603,7364
5000369775,Stamford,Bennington,272,383,378,490,563,662,833,759,633,726,645,677,510,374,370,418,514,600,752,773,773,813,824,861
5000569925,Stannard,Caledonia,0,0,0,0,0,0,0,0,228,252,239,222,206,173,154,140,116,113,88,142,148,185,216,208
5000170075,Starksboro,Addison,0,359,726,914,1342,1263,1400,1437,1361,1249,1070,902,835,806,687,744,576,502,668,1336,1511,1898,1777,1756
5002770375,Stockbridge,Windsor,100,432,700,964,1333,1418,1327,1264,1269,1124,894,822,737,618,460,490,427,392,389,508,618,674,736,718
